method,n_early,MAE,MAE_std,MedAE,RMSE,MAPE,PICP_raw,MPIW_raw,PICP_conf,MPIW_conf,n_folds
Heteroscedastic MLP (v2),50,167.4744243066961,49.86723633605969,105.4252780151367,242.69659303436902,55.624542680954825,0.9,814.1498025579973,0.9636363636363636,1238.5418783569335,5
Heteroscedastic MLP (v2),100,195.60313192729208,68.35517547538362,84.02771011352539,376.8440018900066,54.42591697875876,0.9064502164502166,1066.5572173334297,0.9622943722943724,1222.1367358398438,5
Heteroscedastic MLP (v2),150,137.09764368153813,30.767661028468194,79.72765396118166,210.1495465435703,28.369326680339974,0.8947619047619048,750.4958436143444,0.9419047619047619,964.0481872558594,5
CQR-MLP (v2),50,176.9399478565563,44.354619369331424,125.63714691162109,252.57673497846835,56.32311166620089,0.23636363636363633,112.64051549953543,0.9636363636363636,1246.3456539916988,5
CQR-MLP (v2),100,217.66583023560096,114.33084596715956,88.75294189453125,479.1039020272459,62.651018508031555,0.30896103896103894,223.7333707765562,0.9622943722943724,1432.3228143310548,5
CQR-MLP (v2),150,140.91972450120585,29.938471138931902,74.1425717163086,216.2674920548239,27.347924426556613,0.2835839598997493,104.6755717809203,0.9514285714285714,1050.2581298828127,5
SNGP,50,153.63729906949132,35.55654753922223,80.734503326416,234.33249261745215,46.130330810289976,0.3181818181818182,99.2125112043901,0.9545454545454547,1158.0197265625,5
SNGP,100,151.4750384964716,40.136694601528156,83.10765426635743,233.32352838638658,34.30421404202421,0.37025974025974023,99.69014243703207,0.9536363636363637,1073.9459973144533,5
SNGP,150,113.55551811879859,40.44824622159864,52.60249465942381,190.11304105973585,20.499558413055798,0.44796992481203,87.26050569853264,0.9198997493734336,874.3641345214843,5
Laplace last-layer,50,280.2091022005948,131.30798755849312,157.93997638702393,477.5397497330226,123.78807339018803,0.7272727272727272,791.142696441373,0.8636363636363636,978.5833697509763,5
Laplace last-layer,100,323.1150009045291,220.49401560557558,150.92378883361818,654.5539573774321,90.27539587368037,0.7396969696969696,1012.4152917104824,0.9809090909090908,5395.681677246093,5
Laplace last-layer,150,510.20398885806287,583.456953673924,135.0148419189453,1007.7475444141107,154.8434132038184,0.6970426065162908,1291.7965895757334,0.9423809523809524,4726.6080859375,5
