feature,mean_abs_shap
feat_20,51.329494580396684
feat_11,23.670693646669086
feat_03,22.285935981133917
feat_10,21.053102603250647
feat_21,13.433923403764258
feat_04,12.002974157066902
feat_07,11.754388165616016
feat_05,10.571525869561501
feat_02,8.589136178560642
feat_08,8.25701847243425
feat_06,7.137044125616427
feat_18,6.401903863018762
feat_13,6.280889650427412
feat_01,6.13938348861746
feat_17,5.237981776395805
feat_12,4.172393731722633
feat_23,2.9851528203975604
feat_22,2.374326356024251
feat_09,2.116842079315331
feat_15,1.5449242881283838
feat_16,0.9113455003153641
feat_00,0.5797976574225249
feat_14,0.0
feat_19,0.0
