comparison,n,DE_mean,other_mean,wilcoxon_stat,p_uncorrected,p_bonferroni_threshold,significant_uncorr,significant_bonferroni
DE vs CQR_PINN_Knee,5,111.58317248707249,153.7225305220035,0.0,0.0625,0.008333333333333333,False,False
DE vs CQR_MLP,5,111.58317248707249,22694.89397653388,0.0,0.0625,0.008333333333333333,False,False
DE vs Ensemble_NN,5,111.58317248707249,191.682592880281,0.0,0.0625,0.008333333333333333,False,False
DE vs Bayesian_LSTM,5,111.58317248707249,184.54796028934564,0.0,0.0625,0.008333333333333333,False,False
DE vs Gaussian_Process,5,111.58317248707249,125.29372711610463,0.0,0.0625,0.008333333333333333,False,False
DE vs Heteroscedastic_MLP,5,111.58317248707249,29894.76478693522,0.0,0.0625,0.008333333333333333,False,False
