n_early,sigma_epistemic,sigma_aleatoric,sigma_total,abs_error,epistemic_ratio
50,17.86572167588112,18.08570323974253,25.42197224206025,34.73329213460289,0.4938813738671513
50,54.016637296218,22.436472988390552,58.49096019856358,1.6816441853841297,0.8528596881927808
50,24.09807179020744,25.571018739178218,35.13679073799136,66.74362609863283,0.47037085406237683
50,23.543189720119152,27.402886070720623,36.127551082275396,6.105131835937499,0.4246719312126498
50,19.025456860361334,19.47470064428708,27.225575731838358,28.342910054524737,0.4883329665688883
50,19.841452109339432,20.68416638531419,28.66213461803869,61.90351384480795,0.4792143818661909
50,5.416954819201105,22.690297276801978,23.32794440200236,63.92690236409504,0.05392094358285771
50,22.60478433622238,24.674598850143898,33.46359369976045,46.816982981363935,0.4563053688914887
50,15.669376429689256,26.403791117767728,30.70324971539676,32.6323479207357,0.2604562228316122
50,16.99823731037008,20.384464456851,26.54178710735732,5.792492370605487,0.41015447419508405
50,43.952246614268475,34.26243307202357,55.72893595302506,9.383080647786471,0.6220147104042877
50,14.48703433930276,23.325356219896697,27.458084542320336,78.69841451009114,0.27836748351547536
50,20.85440016773005,21.426087957945146,29.89955269794886,347.4297021484375,0.4864811567861102
50,13.500073221985529,19.846329310099232,24.002682435175334,208.56921376546222,0.31633896510697673
50,53.84833189914735,26.58097087644411,60.051568348004864,85.53654591878256,0.8040735945605353
50,19.919925667450745,22.796725301046695,30.273653942795633,274.28505350748696,0.43295797388924995
50,11.038241122795753,24.359882734201708,26.744095683141683,34.78882522583007,0.170350698488279
50,17.7896675600151,22.5142040201526,28.694279125932216,52.549692179361955,0.38436605608719815
50,9.011556259807833,20.017105664322614,21.952053785473883,16.372741394042976,0.168519158008036
50,19.83412637403892,22.42172745764158,29.93537090476924,68.89499239603677,0.4389922619416957
50,17.06650819327765,24.06182361600898,29.499780637135938,470.0323298136393,0.33469696487190626
50,18.7719592512403,23.740051960426722,30.265104017894714,137.05552083333333,0.38471123000271584
50,32.77640327180211,20.605977427006934,38.71561593411784,52.07590006510418,0.7167211872244992
50,20.562863419229473,18.956187046664766,27.96727336273643,45.037963155110674,0.5405886547738934
50,13.429207583469827,20.28240179445933,24.3252839422649,46.79182993570964,0.3047789281073258
50,11.267369023855336,18.770315460754624,21.892426709160837,877.8695090738933,0.26488491595106495
50,29.66161610123829,24.82491791903812,38.67929703890983,588.3612116495768,0.5880746709510133
50,18.5708421718434,18.035389752269683,25.887283798957966,37.32791127522785,0.5146242279181558
50,57.22606204850153,26.956390283910252,63.25716682493327,60.14463996887207,0.8184049535199726
50,18.515596319050687,19.54103672484821,26.919870418185706,133.11436553955076,0.4730744326551027
50,13.913178293427157,18.011025778151257,22.7590329277393,89.573720296224,0.3737189265461177
50,19.4348107423656,16.558814855466075,25.53245421045876,13.479781595865859,0.5793960207105663
50,20.69360101647768,18.10814666600817,27.49781989007181,6.975089619954417,0.5663378878330217
50,19.700313125427805,18.539879815769915,27.052347048326432,239.57982961018882,0.5303179871940527
50,46.284078752801264,23.552178847143352,51.931888801037616,172.94911315917966,0.79431910940771
50,13.526275008429291,18.31493399594771,22.768331578742874,0.9263537597656182,0.3529344167149045
50,12.824864218669047,19.413488041386568,23.267158403216257,4.257366739908832,0.30382174829303976
50,10.93631579077081,17.242900849843004,20.418634449761317,41.873419443766295,0.28687235331565974
50,23.278051570447115,18.60036723305361,29.79666669479742,36.20321024576822,0.610320399340839
50,9.640361228823625,15.601575910748892,18.339731064578505,125.76655659993492,0.2763125998251543
50,11.188445108705688,25.02614913855182,27.413307802152556,77.63400899251303,0.16657759445673911
50,16.838331167280497,14.317930747369495,22.102772165171466,33.51583485921225,0.58036952464992
50,14.903925832678967,20.600047496368216,25.426147212635694,108.54229420979817,0.3435897876917474
50,17.69558378239756,17.17238991112619,24.658156067711143,93.61085896809897,0.5150016202626412
50,19.663554951117032,16.35301331881417,25.574918141040307,11.031274719238297,0.5911471059010389
50,12.11571136446671,15.920189768882107,20.006071681974106,34.87788665771484,0.36675343984058134
50,13.724207383270713,12.824771270476223,18.78373302725139,284.45311614990237,0.5338395305377057
50,28.5621150544633,14.670172821865547,32.109319317104834,3.8290205891926803,0.7912587585744194
50,13.719812768665072,13.781122894567163,19.44614642139641,49.182830352783185,0.49777062780808334
50,27.69554757650561,15.593360647868963,31.7835846288142,445.7507118733724,0.7593013279862286
50,19.271289110110747,22.981593671224047,29.99226953124285,100.86152384440103,0.4128600615565538
50,10.691162653649792,14.062869375894882,17.665368775383044,40.36059682210288,0.36627262225520335
50,14.331332064622579,12.617692706400183,19.094325020267767,42.193171895345074,0.563332096477537
50,23.62069601656956,21.389480596571673,31.866081662141976,208.3001593017578,0.54944984043566
50,21.057874746306123,14.843757732934234,25.76375811998634,301.13178395589193,0.6680525867076089
