n_seeds,n_test,MAE,MedAE,RMSE,mean_sigma,PICP_gauss,MPIW_gauss,NLL_gauss,CRPS_gauss,PICP_conformal,MPIW_conformal,q_hat,method,n_early,fold
10,22,97.04266225641423,59.723290252685544,154.00779000360228,21.739372578686,0.3181818181818182,85.21834050844913,42.90995379374159,89.16189911258431,1.0,1725.59673461914,862.7983673095703,Deep_Ensemble_PINN_Knee,50,0
10,22,130.89302139282225,54.74418563842772,241.90052036796502,20.528034851266032,0.36363636363636365,80.46989661696283,165.16610245577252,121.30471892287805,0.9090909090909091,918.9312072753905,459.4656036376953,Deep_Ensemble_PINN_Knee,50,1
10,22,156.11652103770862,55.98902282714843,232.69106691830424,28.35645978795193,0.3181818181818182,111.15732236877157,60.888941058267235,145.88989485178814,0.8636363636363636,802.1440185546875,401.07200927734374,Deep_Ensemble_PINN_Knee,50,2
10,22,149.39019619985058,67.4664093017578,214.22276551467155,21.744479304570884,0.36363636363636365,85.23835887391785,87.61513541349885,138.66697205303225,1.0,1056.0141235351557,528.0070617675781,Deep_Ensemble_PINN_Knee,50,3
10,22,202.3625781319358,83.37689170837402,333.9823462386752,29.952687603332368,0.36363636363636365,117.4145354050629,129.68726247114736,189.79704658773028,0.9545454545454546,920.8760681152344,460.4380340576172,Deep_Ensemble_PINN_Knee,50,4
10,22,85.28415187488903,46.45002746582031,146.32156349868694,28.898204594517278,0.5,113.28096201050771,26.53793103128086,76.21448862415863,1.0,1643.4161437988287,821.7080718994141,Deep_Ensemble_PINN_Knee,100,0
10,22,126.04316544966264,54.0065856933594,229.13222446744308,32.27809404374239,0.5454545454545454,126.53012865147019,40.050189654316554,114.1439620622689,0.9090909090909091,742.6035583496091,371.30177917480466,Deep_Ensemble_PINN_Knee,100,1
10,20,155.39056678771973,100.93006591796876,205.99182048386734,66.48483062033159,0.65,260.6205360316999,9.435430518660558,125.94647330954274,0.95,849.1290100097655,424.5645050048828,Deep_Ensemble_PINN_Knee,100,2
10,21,127.50511401948476,41.19250030517577,179.85886854469857,32.14757075235587,0.47619047619047616,126.01847734923497,46.34523719013743,114.61749858175509,1.0,974.1587524414062,487.0793762207031,Deep_Ensemble_PINN_Knee,100,3
10,22,195.59815781333228,86.05876045227049,320.2803740293719,30.374321682943414,0.3181818181818182,119.06734099713817,205.85733170708497,182.39118071326897,0.9545454545454546,845.3103393554687,422.65516967773436,Deep_Ensemble_PINN_Knee,100,4
10,21,69.58260505312965,32.617349243164085,109.21924678142784,19.302578849051898,0.5238095238095238,75.66610908828345,22.024476840010045,61.92076543125366,1.0,1579.506579589844,789.7532897949219,Deep_Ensemble_PINN_Knee,150,0
10,21,118.02720867338637,51.37884216308595,215.49595248477578,15.909244323205273,0.38095238095238093,62.36423774696469,157.3738329915064,110.8153705305024,0.9047619047619048,621.2650390625001,310.63251953125,Deep_Ensemble_PINN_Knee,150,1
10,19,109.98659619783099,65.2354766845703,156.5417873177496,21.422735366180973,0.3684210526315789,83.97712263542941,44.46542121234504,101.50826512090919,0.8947368421052632,604.1836425781252,302.0918212890625,Deep_Ensemble_PINN_Knee,150,2
10,21,89.27502143496561,46.660900878906205,125.50365748971336,25.16108292118768,0.38095238095238093,98.6314450510557,42.05414144559769,77.4207917055747,1.0,673.0921081542967,336.5460540771484,Deep_Ensemble_PINN_Knee,150,3
10,20,171.0444310760498,75.45682067871095,294.12116261512233,17.445737917490224,0.25,68.38729263656165,545.2804315181917,163.22425477816904,0.9,629.7178955078125,314.85894775390625,Deep_Ensemble_PINN_Knee,150,4
10,22,152.51294405850496,138.98422576904298,190.8793481814612,12.161446545277073,0.045454545454545456,47.67287045748613,408.54828475616375,146.2558410528863,1.0,1937.190085449219,968.5950427246094,Ensemble_NN_5x_MLP,50,0
10,22,193.71263085798785,139.03543121337887,282.14393273123466,11.216821815817575,0.045454545454545456,43.96994151800488,373.5944518217464,187.53327712403535,0.9090909090909091,1022.4961120605471,511.24805603027346,Ensemble_NN_5x_MLP,50,1
10,22,205.09407481800426,162.6144140625,246.70815382742043,13.21749180995339,0.0,51.81256789501729,428.9885619694555,197.63816802801136,0.9545454545454546,1025.6908447265628,512.8454223632813,Ensemble_NN_5x_MLP,50,2
10,22,200.00496575615622,172.68251678466797,224.25823197550616,16.703233430744447,0.045454545454545456,65.47667504851826,312.87095513439215,190.947653270084,1.0,986.5423876953129,493.27119384765626,Ensemble_NN_5x_MLP,50,3
10,22,243.19969096338207,133.29389694213864,360.1240540859482,19.133151439770128,0.09090909090909091,75.00195364389891,577.0516640488584,233.02093492783231,0.9545454545454546,1031.9903552246096,515.9951776123047,Ensemble_NN_5x_MLP,50,4
10,22,155.0775550148704,141.9761346435547,192.54378883550982,16.032549776091003,0.13636363636363635,62.847595122276715,155.86223818200313,146.3517272940007,1.0,1860.2901562499997,930.1450781249999,Ensemble_NN_5x_MLP,100,0
