method,n_early,MAE,MAE_std,seed_std
"Deep Ensemble (PINN-Knee, 10 seeds)",50,150.706726,22.765878814413114,23.527327003553083
"Deep Ensemble (PINN-Knee, 10 seeds)",100,141.75473200000002,23.083512501897445,30.152817531401507
"Deep Ensemble (PINN-Knee, 10 seeds)",150,117.318894,23.88955554333535,20.10720135709047
"Ensemble_NN (5x MLP, 10 seeds)",50,204.15474600000002,22.50405614113385,28.144758093037222
"Ensemble_NN (5x MLP, 10 seeds)",100,211.23503,23.898085048754027,34.64079581048755
"Ensemble_NN (5x MLP, 10 seeds)",150,195.02031800000003,22.290693507300656,22.477017054491636
"Bayesian_LSTM (MC Dropout, 10 seeds)",50,267.06276461538465,19.27538059220816,19.07794190614718
"Bayesian_LSTM (MC Dropout, 10 seeds)",100,272.5412061538462,20.914028955675892,21.50881389036976
"Bayesian_LSTM (MC Dropout, 10 seeds)",150,282.49449846153846,25.098817040764775,27.920271641045115
